project,file,id,line,column,original,replacement,coding,temperature,label
crawler-url-parser,crawler-url-parser.js,143,104,9,!tmpUrl.text.includes(text),tmpUrl.text.includes(text),Behavioral Change,LLMorpheus,0
Complex.js,complex.js,1061,1146,12,b !== 0,true,Behavioral Change,Stryker,0
delta,src/AttributeMap.ts,39,50,13,"!isEqual(a[key], b[key])","!isEqual(a[key], b[key]) && a[key] !== null && b[key] !== null",Behavioral Change,LLMorpheus,0
crawler-url-parser,crawler-url-parser.js,144,146,71,/\/default\.[a-z]+$/,/\/default\.[^a-z]+$/,Behavioral Change,Stryker,0
spacl-core,src/matcher.ts,36,22,9,/[*+][^/]|[^/][*+]/,/[*+][^/]|[/][*+]/,Behavioral Change,Stryker,0
plural,index.js,271,105,14,"plural(this, num)","plural(this.length, num)",Behavioral Change,LLMorpheus,0
node-geo-point,src/geo-point.ts,12,38,9,typeof latitude !== 'number' || typeof longitude !== 'number',typeof latitude !== 'number' && typeof longitude !== 'number',Equivalent,Stryker,1
q,q.js,803,1387,29,unction promised(callback),{},Behavioral Change,Stryker,0
q,q.js,1033,2051,49,romise.prototype.nodeify = function (nodeback),{},Behavioral Change,Stryker,0
q,q.js,375,483,26,""" instead.""","""""",Behavioral Change,Stryker,0
delta,src/Delta.ts,361,355,53,cursor,cursor + 1,Behavioral Change,LLMorpheus,0
node-geo-point,src/geo-point.ts,72,72,78,f (!Array.isArray(point.coordinates) || point.coordinates.length !== 2),{},Behavioral Change,Stryker,0
node-jsonfile,index.js,13,19,65,options,,Behavioral Change,LLMorpheus,0
delta,src/Delta.ts,423,291,19,action === 'retain',false,Behavioral Change,Stryker,0
delta,src/Delta.ts,420,281,65,'retain',"""""",Behavioral Change,Stryker,0
spacl-core,src/rule.ts,230,71,13,prop === undefined || match[index + 1] !== prop,prop === null || match[index + 1] !== prop,Behavioral Change,LLMorpheus,0
node-geo-point,src/geo-point.ts,266,210,44,point,point.latitude + 1,Behavioral Change,LLMorpheus,0
pull-stream,throughs/async-map.js,491,39,23,,undefined,Behavioral Change,LLMorpheus,0
crawler-url-parser,crawler-url-parser.js,240,162,57,/(\/[^\/]*)[\/]?$/,/(\/[^\/]*)[\/]?$/g,Equivalent,LLMorpheus,1
node-jsonfile,index.js,101,78,10,"fs.writeFileSync(file, str, options)","fs.writeFileSync(file, str, options.reviver)",Behavioral Change,LLMorpheus,0
Complex.js,complex.js,275,281,27,isNaN,Number.isNaN,Equivalent,LLMorpheus,1
countries-and-timezones,src/index.js,155,39,35,timezone,timezone.countries,Behavioral Change,LLMorpheus,0
crawler-url-parser,crawler-url-parser.js,45,55,23,"URL.parse(baseUrlStr, true, true)","URL.parse(baseUrlStr, false, true)",Behavioral Change,LLMorpheus,0
node-geo-point,src/geo-point.ts,201,154,21,sinφ2,sinφ1,Behavioral Change,LLMorpheus,0
pull-stream,sinks/drain.js,87,27,23,end && end !== true,true,Behavioral Change,Stryker,0
spacl-core,src/policy.ts,122,48,24,this.rules,"this.rules.filter(rule => rule.matches(path, ctx))",Equivalent,LLMorpheus,1
delta,src/Delta.ts,353,355,24,"diff(strings[0], strings[1], cursor)","diff(strings[0], strings[1], null)",Behavioral Change,LLMorpheus,0
pull-stream,throughs/take.js,677,30,16,ended,ended && !test(data),Behavioral Change,LLMorpheus,0
image-downloader,index.js,11,10,37,'The options.dest is required',"""""",Behavioral Change,Stryker,0
node-dirty,lib/dirty/dirty.js,36,36,28,cbs,cbs.concat([]),Behavioral Change,LLMorpheus,0
pull-stream,pull.js,87,24,49,ref[2],ref[0],Behavioral Change,LLMorpheus,0
q,q.js,173,291,32,index++,index--,Behavioral Change,LLMorpheus,0
plural,index.js,275,105,21,this,undefined,Behavioral Change,LLMorpheus,0
node-geo-point,src/geo-point.ts,3,42,9,latitude < -90 || latitude > 90,latitude < -90 || latitude > 90 || latitude === 0,Behavioral Change,LLMorpheus,0
node-dirty,lib/dirty/dirty.js,103,151,30,f (buffer.length),{},Behavioral Change,Stryker,0
Complex.js,complex.js,939,1007,24,2 * b,2 * a,Behavioral Change,LLMorpheus,0
countries-and-timezones,src/index.js,140,32,7,!timezones[name],!timezones.hasOwnProperty(name),Equivalent,LLMorpheus,1
Complex.js,complex.js,1066,1243,9,Math.floor,Math.ceil,Behavioral Change,LLMorpheus,0
node-geo-point,src/geo-point.ts,181,147,24,coordinate.longitude,coordinate.longitude * 2,Behavioral Change,LLMorpheus,0
pull-stream,util/prop.js,456,6,56,v && v[0],true,Behavioral Change,Stryker,0
Complex.js,complex.js,1129,1230,24,'im',"""""",Behavioral Change,Stryker,0
Complex.js,complex.js,922,1024,12,'im',"""""",Behavioral Change,Stryker,0
node-dirty,lib/dirty/dirty.js,214,158,21,'read_close','read_error',Behavioral Change,LLMorpheus,0
q,q.js,1140,1319,47,errback,reject,Behavioral Change,LLMorpheus,0
plural,index.js,42,22,9,/nucleus|syllabus|focus|fungus|cactus/i,/nucleus|syllabus|focus|fungus|cactus|bacterium/i,Behavioral Change,LLMorpheus,0
plural,index.js,177,104,45,tring.prototype.plural = function(num),{},Behavioral Change,Stryker,0
Complex.js,complex.js,166,200,18,Number.isFinite,Number.isSafeInteger,Behavioral Change,LLMorpheus,0
zip-a-folder,lib/ZipAFolder.ts,73,148,43,false,true,Behavioral Change,Stryker,0
node-geo-point,src/geo-point.ts,11,38,9,typeof latitude !== 'number' || typeof longitude !== 'number',false,Behavioral Change,Stryker,0
node-dirty,lib/dirty/dirty.js,137,118,11,"this.emit('error', err)","this.emit('error', new Error('Custom error message'))",Behavioral Change,LLMorpheus,0
node-dirty,lib/dirty/dirty.js,254,189,51,'error','close',Behavioral Change,LLMorpheus,0
plural,index.js,72,49,9,/^(?:wo)?man$/i,/^(?:wo)?man/i,Behavioral Change,Stryker,0
delta,src/Delta.ts,379,364,57,length,length + 1,Behavioral Change,LLMorpheus,0
pull-stream,pull.js,22,22,7,"case 2: return pull(read, ref[0], ref[1])",case 2:,Behavioral Change,Stryker,0
delta,src/AttributeMap.ts,28,44,9,typeof b !== 'object',b === null,Equivalent,LLMorpheus,1
delta,src/Delta.ts,631,507,13,typeof otherData === 'object' && otherData !== null,true,Behavioral Change,Stryker,0
countries-and-timezones,src/build-timezone.js,39,14,21,Number.isInteger,Number.isFinite,Behavioral Change,LLMorpheus,0
node-dirty,lib/dirty/dirty.js,132,182,9,!this._queue.size || this._waitForDrain,!this._queue.size && this._waitForDrain,Behavioral Change,Stryker,0
plural,index.js,46,33,13,'dwarf',"""""",Behavioral Change,Stryker,0
spacl-core,src/matcher.ts,10,13,23,'Path contains invalid characters',"""""",Behavioral Change,Stryker,0
crawler-url-parser,crawler-url-parser.js,20,40,16,"baseUrlStr.replace(/#.*$/, '')","baseUrlStr.replace(/#.*$/, '\\\\')",Behavioral Change,LLMorpheus,0
plural,index.js,178,108,8,lse,{},Behavioral Change,Stryker,0
node-dirty,lib/dirty/dirty.js,56,107,17,'utf-8',"""""",Behavioral Change,Stryker,0
plural,index.js,236,80,54,word,word.toLowerCase(),Behavioral Change,LLMorpheus,0
node-jsonfile,utils.js,55,10,7,Buffer.isBuffer(content),true,Behavioral Change,Stryker,0
delta,src/Delta.ts,189,99,9,typeof length === 'number',true,Behavioral Change,Stryker,0
pull-stream,throughs/filter.js,520,15,23,test,test || true,Behavioral Change,LLMorpheus,0
delta,src/Delta.ts,701,570,23,'object',"""""",Behavioral Change,Stryker,0
node-geo-point,src/geo-point.ts,16,64,9,!point.hasOwnProperty('type') || !point.hasOwnProperty('coordinates'),!point.hasOwnProperty('type') || !point.hasOwnProperty('coordinates') || point.type !== 'Point',Behavioral Change,LLMorpheus,0
node-dirty,lib/dirty/dirty.js,223,169,50,'drain','error',Behavioral Change,LLMorpheus,0
pull-stream,throughs/through.js,408,15,10,end,true,Behavioral Change,Stryker,0
node-geo-point,src/geo-point.ts,53,64,9,!point.hasOwnProperty('type') || !point.hasOwnProperty('coordinates'),!point.hasOwnProperty('type') && !point.hasOwnProperty('coordinates'),Behavioral Change,Stryker,0
crawler-url-parser,crawler-url-parser.js,128,101,7,currentUrl && currentUrl.url,currentUrl && currentUrl.url !== baseUrlStr,Behavioral Change,LLMorpheus,0
node-dirty,lib/dirty/dirty.js,109,158,21,'read_close',"""""",Behavioral Change,Stryker,0
node-geo-point,src/geo-point.ts,141,125,49,φ2,φ1,Behavioral Change,LLMorpheus,0
delta,src/Delta.ts,665,546,47,false,true,Behavioral Change,Stryker,0
delta,src/Delta.ts,442,319,11,typeof otherOp.delete === 'number',true,Behavioral Change,Stryker,0
plural,index.js,262,84,21,rule[1],rule[2],Behavioral Change,LLMorpheus,0
q,q.js,1403,1537,21,object,undefined,Behavioral Change,LLMorpheus,0
Complex.js,complex.js,1076,1165,23,b * b,b / b,Behavioral Change,Stryker,0
delta,src/Delta.ts,289,157,9,index === this.ops.length,false,Behavioral Change,Stryker,0
delta,src/Delta.ts,264,260,11,otherIter.peekType() === 'insert',otherIter.peekType() === 'insert' && otherIter.peekLength() > 0,Behavioral Change,LLMorpheus,0
q,q.js,447,566,40,operands[1],operands[2],Behavioral Change,LLMorpheus,0
q,q.js,1723,1900,14,callback,,Behavioral Change,LLMorpheus,0
node-dirty,lib/dirty/dirty.js,104,88,26,() => this.close(),() => this.close(false),Equivalent,LLMorpheus,1
Complex.js,complex.js,799,843,42,a,a + 1,Behavioral Change,LLMorpheus,0
countries-and-timezones,src/index.js,135,27,7,!country,country === null,Equivalent,LLMorpheus,1
image-downloader,lib/TimeoutError.js,24,3,11,'TimeoutError',"""""",Behavioral Change,Stryker,0
plural,index.js,173,103,7,String.prototype.plural === undefined,true,Behavioral Change,Stryker,0
Complex.js,complex.js,373,437,11,Math.abs,Math.ceil,Behavioral Change,LLMorpheus,0
node-dirty,lib/dirty/dirty.js,201,152,23,'error','drain',Behavioral Change,LLMorpheus,0
spacl-core,src/matcher.ts,37,22,9,/[*+][^/]|[^/][*+]/,/[*+][^/]|[^/][^*+]/,Behavioral Change,Stryker,0
Complex.js,complex.js,307,339,11,this['isInfinite'],this['isNaN'],Behavioral Change,LLMorpheus,0
crawler-url-parser,crawler-url-parser.js,215,147,71,/\/default\.[a-z]+$/,/\/default\.[a-z]+$/i,Behavioral Change,LLMorpheus,0
crawler-url-parser,crawler-url-parser.js,278,186,2,console.log,console.error,Behavioral Change,LLMorpheus,0
countries-and-timezones,src/index.js,153,39,35,timezone,timezone.name,Behavioral Change,LLMorpheus,0
node-jsonfile,utils.js,134,10,7,Buffer.isBuffer(content),Buffer.isBuffer(content) && content.length > 0,Behavioral Change,LLMorpheus,0
q,q.js,1889,1980,12,"Q.nbind.apply(void 0, args)","Q.nbind.apply(this, args)",Behavioral Change,LLMorpheus,0
spacl-core,src/policymap.ts,178,41,24,path,path.toLowerCase(),Behavioral Change,LLMorpheus,0
node-jsonfile,utils.js,138,10,23,content,content.slice(1),Equivalent,LLMorpheus,1
spacl-core,src/matcher.ts,20,26,20,/[^/]:|:\/|:$/,/[^/]:|:\/|:$/g,Equivalent,LLMorpheus,1
crawler-url-parser,crawler-url-parser.js,214,147,71,/\/default\.[a-z]+$/,/\/default\.[a-z]+$/g,Equivalent,LLMorpheus,1
node-dirty,lib/dirty/dirty.js,273,193,11,this._waitForDrain,this._waitForDrain !== true,Equivalent,LLMorpheus,1
pull-stream,sinks/drain.js,176,34,20,abort || true,abort ? true : false,Behavioral Change,LLMorpheus,0
node-dirty,lib/dirty/dirty.js,80,126,26,f (!rowStr),{},Behavioral Change,Stryker,0
delta,src/Delta.ts,575,448,22,op.retain && op.attributes,true,Behavioral Change,Stryker,0
node-geo-point,src/geo-point.ts,294,297,50,input.toFixed,input.toLocaleString,Behavioral Change,LLMorpheus,0
pull-stream,sinks/drain.js,163,28,17,console.warn,console.log,Behavioral Change,LLMorpheus,0
pull-stream,sinks/find.js,229,22,8,err === true ? null : err,err === false ? null : err,Behavioral Change,LLMorpheus,0
node-jsonfile,index.js,99,78,10,"fs.writeFileSync(file, str, options)","fs.writeFileSync(file, str, options.encoding)",Behavioral Change,LLMorpheus,0
crawler-url-parser,crawler-url-parser.js,118,105,20,`${tmpUrl.text} ${text}`,``,Behavioral Change,Stryker,0
pull-stream,sources/values.js,376,7,43,onAbort,onAbort(),Behavioral Change,LLMorpheus,0
pull-stream,sinks/drain.js,105,34,20,abort || true,false,Behavioral Change,Stryker,0
spacl-core,src/policy.ts,121,48,24,this.rules,this.rules.slice(),Equivalent,LLMorpheus,1
delta,src/Delta.ts,424,291,19,action === 'retain',action !== 'retain',Behavioral Change,Stryker,0
node-dirty,lib/dirty/dirty.js,100,88,17,'drain','error',Behavioral Change,LLMorpheus,0
Complex.js,complex.js,1082,1169,11,-b,+b,Behavioral Change,Stryker,0
node-geo-point,src/geo-point.ts,113,153,34,cosφ1 * sinδ * cosθ,cosφ1 * sinδ / cosθ,Behavioral Change,Stryker,0
Complex.js,complex.js,1036,1226,25,10,0,Behavioral Change,LLMorpheus,0
q,q.js,715,1100,13,"typeof process === ""object"" && typeof process.emit === ""function""",false,Behavioral Change,Stryker,0
pull-stream,throughs/flatten.js,547,13,11,"read(err || abort, cb)","read(err && abort, cb)",Behavioral Change,LLMorpheus,0
plural,index.js,82,24,49,w.substr,w.slice,Equivalent,LLMorpheus,1
pull-stream,sources/values.js,366,7,10,abort,abort === true,Behavioral Change,LLMorpheus,0
delta,src/AttributeMap.ts,102,97,12,Object.keys(attributes).length > 0,Object.keys(attributes).length >= 0,Behavioral Change,Stryker,0
spacl-core,src/policymap.ts,173,39,29,name,name.split(' ')[0],Behavioral Change,LLMorpheus,0
node-dirty,lib/dirty/dirty.js,111,162,17,'utf-8',"""""",Behavioral Change,Stryker,0
crawler-url-parser,crawler-url-parser.js,223,185,21,f (!module.parent),{},Behavioral Change,Stryker,0
node-dirty,lib/dirty/dirty.js,255,189,60,err,,Behavioral Change,LLMorpheus,0
delta,src/AttributeMap.ts,1,14,9,typeof a !== 'object',a === undefined,Equivalent,LLMorpheus,1
pull-stream,sinks/reduce.js,280,16,27,end === true ? null : end,end === false ? null : end,Behavioral Change,LLMorpheus,0
pull-stream,sources/values.js,386,10,21,array,array[0],Behavioral Change,LLMorpheus,0
pull-stream,throughs/through.js,402,10,11,abort === true,true,Behavioral Change,Stryker,0
countries-and-timezones,src/index.js,88,12,40,"getCountry(id, options)","getCountry(id, options, {})",Equivalent,LLMorpheus,1
pull-stream,util/prop.js,444,3,5,'string',"""""",Behavioral Change,Stryker,0
countries-and-timezones,src/build-timezone.js,41,14,21,Number.isInteger,Number.isSafeInteger,Behavioral Change,LLMorpheus,0
delta,src/Delta.ts,634,507,13,typeof otherData === 'object',true,Behavioral Change,Stryker,0
node-geo-point,src/geo-point.ts,23,42,9,latitude < -90 || latitude > 90,latitude < -90 && latitude > 90,Behavioral Change,Stryker,0
Complex.js,complex.js,35,57,9,-b > x || x > b,x > b || x < -b,Equivalent,LLMorpheus,1
q,q.js,586,895,68,"elf.promiseDispatch(void 0, ""when"", [void 0, function (value)",{},Behavioral Change,Stryker,0
crawler-url-parser,crawler-url-parser.js,271,171,13,linkurl.domain == pageurl.domain,linkurl.domain.includes(pageurl.domain),Behavioral Change,LLMorpheus,0
delta,src/Delta.ts,171,80,7,typeof attributes === 'object',true,Behavioral Change,Stryker,0
countries-and-timezones,src/build-timezone.js,62,34,30,hours,Math.floor(offset / 60),Equivalent,LLMorpheus,1
Complex.js,complex.js,1288,1412,27,"efine([], function()",{},Behavioral Change,Stryker,0
node-dirty,lib/dirty/dirty.js,188,145,30,row.key,"row[""key""]",Equivalent,LLMorpheus,1
pull-stream,pull.js,131,42,16,s && typeof s === 'object',s && typeof s === 'function',Behavioral Change,LLMorpheus,0
crawler-url-parser,crawler-url-parser.js,224,186,14,"""for testing purpose""","""""",Behavioral Change,Stryker,0
delta,src/Delta.ts,104,60,9,Array.isArray(ops),typeof ops === 'object' && ops.length > 0,Behavioral Change,LLMorpheus,0
delta,src/Delta.ts,496,364,24,"Math.min(otherIter.peekLength(), length)","Math.max(otherIter.peekLength(), length)",Behavioral Change,Stryker,0
node-geo-point,src/geo-point.ts,78,85,28,f (!isObject(object)),{},Behavioral Change,Stryker,0
crawler-url-parser,crawler-url-parser.js,146,104,31,text,text.toUpperCase(),Behavioral Change,LLMorpheus,0
crawler-url-parser,crawler-url-parser.js,221,185,5,!module.parent,true,Behavioral Change,Stryker,0
spacl-core,src/matcher.ts,50,27,23,'Path contains malformed captures',"""""",Behavioral Change,Stryker,0
node-geo-point,src/geo-point.ts,199,151,37,θ,θ * 2,Behavioral Change,LLMorpheus,0
crawler-url-parser,crawler-url-parser.js,8,12,26,/^utm_\w+/i,/utm_\w+/i,Equivalent,Stryker,1
node-geo-point,src/geo-point.ts,88,90,27,'Object must have latitude and longitude',"""""",Behavioral Change,Stryker,0
crawler-url-parser,crawler-url-parser.js,116,104,9,!tmpUrl.text.includes(text),false,Behavioral Change,Stryker,0
node-jsonfile,index.js,28,27,9,shouldThrow,shouldThrow === true,Behavioral Change,LLMorpheus,0
plural,index.js,31,27,9,/[aeiouy]o$/i,/[^aeiouy]o$/i,Behavioral Change,Stryker,0
q,q.js,1970,2029,43,1,,Behavioral Change,LLMorpheus,0
plural,index.js,269,103,7,String.prototype.plural === undefined,"String.prototype.plural = function (num) {
  return num > 1 ? this + 's' : this + 'es';
}",Behavioral Change,LLMorpheus,0
plural,index.js,179,52,9,/\b(?:bison|cod|deer|fowl|halibut|moose|sheep)\b/i,/\b(?:bison|cod|deer|fowl|halibut|moose|sheep|tiger|zebra)\b/i,Behavioral Change,LLMorpheus,0
crawler-url-parser,crawler-url-parser.js,212,147,58,'/','\\',Behavioral Change,LLMorpheus,0
delta,src/AttributeMap.ts,2,14,9,typeof a !== 'object',a === NaN,Behavioral Change,LLMorpheus,0
plural,index.js,43,33,7,w === 'dwarf' || w === 'roof',w === 'dwarf' && w === 'roof',Behavioral Change,Stryker,0
q,q.js,461,660,80,"rray_reduce(progressListeners, function (undefined, progressListener)",{},Behavioral Change,Stryker,0
node-geo-point,src/geo-point.ts,259,210,12,"GeoPoint.calculateBearing(this, point)","GeoPoint.calculateBearing(this, point.longitude)",Behavioral Change,LLMorpheus,0
delta,src/Delta.ts,434,309,13,!otherIter.hasNext() &&,false,Behavioral Change,Stryker,0
q,q.js,1242,1427,12,"this.dispatch(""get"", [key])","this.dispatch(""set"", [key])",Behavioral Change,LLMorpheus,0
Complex.js,complex.js,953,1053,26,'re',"""""",Behavioral Change,Stryker,0
q,q.js,1579,1734,27,void 0,,Behavioral Change,LLMorpheus,0
pull-stream,pull.js,38,40,9,typeof s === 'function',true,Behavioral Change,Stryker,0
node-geo-point,src/geo-point.ts,248,201,12,"GeoPoint.calculateDestination(this, distance, bearing)","GeoPoint.calculateDestination(this, distance, bearing + 180)",Behavioral Change,LLMorpheus,0
node-dirty,lib/dirty/dirty.js,105,152,42,`Corrupted row at the end of the db: ${buffer}`,``,Behavioral Change,Stryker,0
pull-stream,sources/count.js,184,6,8,end,false,Behavioral Change,Stryker,0
q,q.js,946,1777,48,"""function""","""""",Behavioral Change,Stryker,0
pull-stream,throughs/async-map.js,432,12,29,aborted,undefined,Behavioral Change,LLMorpheus,0
q,q.js,953,1122,5,resetUnhandledRejections,unhandledRejections.length = 0,Behavioral Change,LLMorpheus,0
q,q.js,714,873,62,value,,Behavioral Change,LLMorpheus,0
node-jsonfile,utils.js,145,11,10,"content.replace(/^\uFEFF/, '')","content.replace(/^\uFEFF/i, '')",Equivalent,LLMorpheus,1
delta,src/AttributeMap.ts,3,17,9,typeof b !== 'object',b === null,Behavioral Change,LLMorpheus,0
Complex.js,complex.js,1065,1240,29,places || 0,places ? 0 : 1,Behavioral Change,LLMorpheus,0
spacl-core,src/policy.ts,99,18,5,this.rules.push,this.rules.unshift,Behavioral Change,LLMorpheus,0
node-jsonfile,index.js,104,78,27,file,file.toUpperCase(),Behavioral Change,LLMorpheus,0
delta,src/Delta.ts,343,334,36,other.ops.slice(1),"other.ops.slice(1, 2)",Behavioral Change,LLMorpheus,0
Complex.js,complex.js,1067,1243,9,Math.floor,Math.round,Behavioral Change,LLMorpheus,0
q,q.js,6,39,19,"""promise""","""""",Behavioral Change,Stryker,0
Complex.js,complex.js,1074,1244,9,Math.floor,Math.abs,Behavioral Change,LLMorpheus,0
plural,index.js,26,16,50,w.substr,w.slice,Equivalent,LLMorpheus,1
spacl-core,src/matcher.ts,61,39,9,string.length > 1 && string.endsWith('/'),false,Behavioral Change,Stryker,0
pull-stream,throughs/through.js,405,10,21,true,false,Behavioral Change,Stryker,0
q,q.js,869,1079,60,promise,"promise.then(function () {
  return Q.reject(new Error(""test""));
})",Behavioral Change,LLMorpheus,0
plural,index.js,135,76,7,num !== 1 || num === undefined,num !== 1 && num === undefined,Behavioral Change,Stryker,0
node-jsonfile,index.js,52,52,12,"JSON.parse(content, options.reviver)","JSON.parse(content, options.reviver, options.encoding, options.flag)",Equivalent,LLMorpheus,1
node-geo-point,src/geo-point.ts,268,219,12,"GeoPoint.calculateDistance(this, point)","GeoPoint.calculateDistance(this.longitude, point.latitude)",Behavioral Change,LLMorpheus,0
node-dirty,lib/dirty/dirty.js,81,127,25,'error',"""""",Behavioral Change,Stryker,0
delta,src/AttributeMap.ts,8,17,9,typeof b !== 'object',false,Equivalent,Stryker,1
crawler-url-parser,crawler-url-parser.js,146,147,38,/\/index\.[a-z]+$/,/\/index\.[a-z]+/,Behavioral Change,Stryker,0
delta,src/OpIterator.ts,815,82,9,,{},Behavioral Change,Stryker,0
q,q.js,100,203,27,"setImmediate.bind(window, flush)",setImmediate.bind(null),Behavioral Change,LLMorpheus,0
Complex.js,complex.js,80,102,11,x / y,x * y,Behavioral Change,Stryker,0
pull-stream,sources/once.js,342,7,33,onAbort,onAbort(),Behavioral Change,LLMorpheus,0
node-dirty,lib/dirty/dirty.js,73,122,33,'\n',"""""",Behavioral Change,Stryker,0
spacl-core,src/policymap.ts,149,13,16,policy.name,policy.name.split(' ')[0],Behavioral Change,LLMorpheus,0
Complex.js,complex.js,784,812,13,b === 1,b !== 1,Behavioral Change,LLMorpheus,0
node-dirty,lib/dirty/dirty.js,38,39,20,() => { if (cb) cb(); this.emit('drain'); },"() => {
  if (cb) cb();
  this.emit('drain', 1);
}",Equivalent,LLMorpheus,1
q,q.js,278,408,13,!isInternalFrame(line),isInternalFrame(line),Behavioral Change,Stryker,0
node-geo-point,src/geo-point.ts,44,47,28,'bad longitude value',"""""",Behavioral Change,Stryker,0
node-jsonfile,utils.js,144,11,10,"content.replace(/^\uFEFF/, '')","content.replace(/^\uFEFF/g, '')",Equivalent,LLMorpheus,1
plural,index.js,114,40,1,"addRule('bacterium', 'bacteria')","addRule('bacterium', 'bacteriums')",Behavioral Change,LLMorpheus,0
plural,index.js,49,33,30,'roof',"""""",Behavioral Change,Stryker,0
node-dirty,lib/dirty/dirty.js,119,168,30,f (!this._queue.size),{},Behavioral Change,Stryker,0
plural,index.js,55,40,9,'bacterium',"""""",Behavioral Change,Stryker,0
crawler-url-parser,crawler-url-parser.js,29,47,18,"URL.parse(currentUrlStr, true, true)","URL.parse(currentUrlStr, true, false)",Behavioral Change,LLMorpheus,0
pull-stream,throughs/filter.js,525,16,41,"next(end, cb)","next(end, null)",Behavioral Change,LLMorpheus,0
image-downloader,index.js,54,24,24,options.dest,path.dirname(options.dest),Equivalent,LLMorpheus,1
spacl-core,src/matcher.ts,24,29,9,spec.match(/^.+\/$/) !== null,spec.match(/^.+\/$/) !== null && spec.match(/^.+\/$/) !== undefined,Equivalent,LLMorpheus,1
node-dirty,lib/dirty/dirty.js,269,191,34,err,,Behavioral Change,LLMorpheus,0
crawler-url-parser,crawler-url-parser.js,117,104,38,f (!tmpUrl.text.includes(text)),{},Behavioral Change,Stryker,0
crawler-url-parser,crawler-url-parser.js,268,167,30,linkurl_path,"linkurl_path.substring(linkurl_path.lastIndexOf(""/"") + 1)",Behavioral Change,LLMorpheus,0
plural,index.js,128,42,18,'cellos','cell',Behavioral Change,LLMorpheus,0
delta,src/AttributeMap.ts,25,30,11,a[key] !== undefined,true,Behavioral Change,Stryker,0
node-jsonfile,index.js,27,42,15,{ encoding: options },{},Behavioral Change,Stryker,0
node-jsonfile,index.js,19,25,11,"JSON.parse(data, options ? options.reviver : null)","JSON.parse(data, options ? options.reviver : undefined)",Equivalent,LLMorpheus,1
q,q.js,1502,1641,9,when,when.then,Behavioral Change,LLMorpheus,0
Complex.js,complex.js,1001,1087,17,f (noIM),{},Behavioral Change,Stryker,0
plural,index.js,218,76,7,num !== 1 || num === undefined,num === undefined,Behavioral Change,LLMorpheus,0
plural,index.js,50,33,38,f (w === 'dwarf' || w === 'roof'),{},Behavioral Change,Stryker,0
node-geo-point,src/geo-point.ts,79,86,27,'GeoPoint: Argument must be an object',"""""",Behavioral Change,Stryker,0
pull-stream,sources/values.js,229,10,6,!Array.isArray(array),true,Behavioral Change,Stryker,0
pull-stream,pull.js,37,20,15,length,length * 2,Behavioral Change,LLMorpheus,0
node-geo-point,src/geo-point.ts,217,160,32,λ2,λ2 - λ1,Behavioral Change,LLMorpheus,0
q,q.js,590,739,12,Q,Q.reject,Behavioral Change,LLMorpheus,0
pull-stream,sinks/drain.js,59,8,7,!done,true,Behavioral Change,Stryker,0
pull-stream,pull.js,92,26,9,ref.unshift,ref.pop,Behavioral Change,LLMorpheus,0
node-dirty,lib/dirty/dirty.js,118,168,11,!this._queue.size,false,Behavioral Change,Stryker,0
crawler-url-parser,crawler-url-parser.js,150,147,71,/\/default\.[a-z]+$/,/\/default\.[a-z]+/,Behavioral Change,Stryker,0
crawler-url-parser,crawler-url-parser.js,57,47,49,true,false,Behavioral Change,Stryker,0
crawler-url-parser,crawler-url-parser.js,281,205,18,url,url.host,Behavioral Change,LLMorpheus,0
crawler-url-parser,crawler-url-parser.js,10,36,40,/#.*$/,/^#.*$/,Equivalent,LLMorpheus,1
Complex.js,complex.js,17,45,12,Math.abs(x) < 1e-9,true,Behavioral Change,Stryker,0
crawler-url-parser,crawler-url-parser.js,100,97,7,"typeof href == ""undefined""",false,Behavioral Change,Stryker,0
q,q.js,700,1086,43,"""undefined""","""""",Behavioral Change,Stryker,0
node-geo-point,src/geo-point.ts,264,210,38,this,{},Behavioral Change,LLMorpheus,0
plural,index.js,68,23,48,w.substr,w.substring,Equivalent,LLMorpheus,1
crawler-url-parser,crawler-url-parser.js,65,59,31,URL.resolve,URL.resolveObject,Behavioral Change,LLMorpheus,0
plural,index.js,0,3,13,[],"[""Stryker was here""]",Behavioral Change,Stryker,0
node-dirty,lib/dirty/dirty.js,107,156,13,'close',"""""",Behavioral Change,Stryker,0
node-geo-point,src/geo-point.ts,34,46,9,longitude < -180 || longitude > 180,false,Behavioral Change,Stryker,0
plural,index.js,117,60,78,'tropic',"""""",Behavioral Change,Stryker,0
delta,src/Delta.ts,164,157,9,index === this.ops.length,index > this.ops.length,Behavioral Change,LLMorpheus,0
node-dirty,lib/dirty/dirty.js,89,137,25,catch (e),{},Behavioral Change,Stryker,0
node-jsonfile,index.js,111,78,38,options,{},Behavioral Change,LLMorpheus,0
Complex.js,complex.js,755,812,13,b === 1,true,Behavioral Change,Stryker,0
q,q.js,384,468,62,firstLine,"firstLine.split("":"")[0]",Behavioral Change,LLMorpheus,0
node-geo-point,src/geo-point.ts,29,42,27,latitude > 90,latitude >= 90,Behavioral Change,Stryker,0
crawler-url-parser,crawler-url-parser.js,0,5,34,onst result_normalize_options =,{},Equivalent,Stryker,1
pull-stream,sinks/log.js,237,7,5,console.log,console.info,Behavioral Change,LLMorpheus,0
Complex.js,complex.js,94,126,23,_b,_a + _b,Equivalent,LLMorpheus,1
