application;name;url;issue/bug#;commit;file;line(s);orig code;fixed code;effect of the bug;classification of run1 mutants;;;;;;;run1;run2;run3;run4;run5;NOTE;;;
memfs;memfs-870;https://github.com/streamich/memfs;870;7c5999c;src/volume.ts;2069;"const fd = this.openSync(filename, 'r+');";"const fd = this.openSync(filename, 'r');";"""FAIL  src/__tests__/volume.test.ts
  ● volume › Volume › .chmodSync(path, mode) › works with directories

    EISDIR: illegal operation on a directory, open '/dir'

      126 |     case EACCES:
      127 |       return `EACCES: permission denied, ${func}${pathFormatted}`;
    > 128 |     case ENOTEMPTY:
          |                 ^
      129 |       return `ENOTEMPTY: directory not empty, ${func}${pathFormatted}`;
      130 |     case EMFILE:
      131 |       return `EMFILE: too many open files, ${func}${pathFormatted}`;

      at createError (src/volume.ts:128:17)
      at Volume.Object.<anonymous>.Volume.openLink (src/volume.ts:814:23)
      at Volume.Object.<anonymous>.Volume.openFile (src/volume.ts:853:25)
      at Volume.Object.<anonymous>.Volume.openBase (src/volume.ts:858:25)
      at Volume.Object.<anonymous>.Volume.openSync (src/volume.ts:869:21)
      at Volume.Object.<anonymous>.Volume.chmodBase (src/volume.ts:1700:23)
      at Volume.Object.<anonymous>.Volume.chmodSync (src/volume.ts:1711:14)
      at Object.<anonymous> (src/__tests__/volume.test.ts:1099:21)""";1;0;3;4;0;2;0;"OrigBug: 1
SameFail: 0
Superset: 3
Different: 4
Surviving: 0
Invalid: 2
Other: 0";"OrigBug: 0
SameFail: 0
Superset: 2
Different: 6
Surviving: 0
Invalid: 4
Other: 0";"OrigBug: 0
SameFail: 0
Superset: 2
Different: 6
Surviving: 0
Invalid: 2
Other: 0";"OrigBug: 1
SameFail: 0
Superset: 2
Different: 5
Surviving: 0
Invalid: 2
Other: 0";"OrigBug: 0
SameFail: 0
Superset: 2
Different: 7
Surviving: 0
Invalid: 3
Other: 0";;;;
memfs;memfs-1024;https://github.com/streamich/memfs;1024;711c4bd;src/Dirent.ts;18;" dirent.path = link.getPath();";"dirent.path = link.getParentPath();";""" FAIL  src/__tests__/volume/readdirSync.test.ts
  ● readdirSync() › accepts option {withFileTypes: true}

    expect(received).toEqual(expected) // deep equality

    - Expected  - 3
    + Received  + 3

      Array [
        Object {
          """"mode"""": 33206,
          """"name"""": """"af"""",
    -     """"path"""": """"/x"""",
    +     """"path"""": """"/x/af"""",
        },
        Object {
          """"mode"""": 16895,
          """"name"""": """"b"""",
    -     """"path"""": """"/x"""",
    +     """"path"""": """"/x/b"""",
        },
        Object {
          """"mode"""": 16895,
          """"name"""": """"c"""",
    -     """"path"""": """"/x"""",
    +     """"path"""": """"/x/c"""",
        },
      ]

      67 |       return { ...dirent };
      68 |     });
    > 69 |     expect(mapped).toEqual([
         |                    ^
      70 |       { mode: 33206, name: 'af', path: '/x' },
      71 |       { mode: 16895, name: 'b', path: '/x' },
      72 |       { mode: 16895, name: 'c', path: '/x' },

      at Object.<anonymous> (src/__tests__/volume/readdirSync.test.ts:69:20)

  ● readdirSync() › accepts option {recursive: true}

    expect(received).toEqual(expected) // deep equality

    - Expected  - 9
    + Received  + 9

      Array [
    -   """"af1"""",
    -   """"af2"""",
    -   """"b"""",
    -   """"b/bf1"""",
    -   """"b/bf2"""",
    -   """"c"""",
    +   """"af1/af1"""",
    +   """"af2/af2"""",
    +   """"b/b"""",
    +   """"b/bf1/bf1"""",
    +   """"b/bf2/bf2"""",
        """"c/c"""",
    -   """"c/c/.cf0"""",
    -   """"c/c/cf1"""",
    -   """"c/c/cf2"""",
    +   """"c/c/.cf0/.cf0"""",
    +   """"c/c/c"""",
    +   """"c/c/cf1/cf1"""",
    +   """"c/c/cf2/cf2"""",
      ]

      86 |     const all = vol.readdirSync('/y', { recursive: true });
      87 |     (all as any).sort();
    > 88 |     expect(all).toEqual(['af1', 'af2', 'b', 'b/bf1', 'b/bf2', 'c', 'c/c', 'c/c/.cf0', 'c/c/cf1', 'c/c/cf2']);
         |                 ^
      89 |   });
      90 |
      91 |   it('accepts option {recursive: true, withFileTypes: true}', () => {

      at Object.<anonymous> (src/__tests__/volume/readdirSync.test.ts:88:17)

  ● readdirSync() › accepts option {recursive: true, withFileTypes: true}

    expect(received).toEqual(expected) // deep equality

    - Expected  - 13
    + Received  + 13

      Array [
        Object {
          """"mode"""": 33206,
          """"name"""": """"af1"""",
    -     """"path"""": """"/z"""",
    +     """"path"""": """"/z/af1"""",
        },
        Object {
          """"mode"""": 33206,
          """"name"""": """"af2"""",
    -     """"path"""": """"/z"""",
    +     """"path"""": """"/z/af2"""",
        },
        Object {
          """"mode"""": 16895,
          """"name"""": """"b"""",
    -     """"path"""": """"/z"""",
    -   },
    -   Object {
    -     """"mode"""": 16895,
    -     """"name"""": """"c"""",
    -     """"path"""": """"/z"""",
    +     """"path"""": """"/z/b"""",
        },
        Object {
          """"mode"""": 33206,
          """"name"""": """"bf1"""",
    -     """"path"""": """"/z/b"""",
    +     """"path"""": """"/z/b/bf1"""",
        },
        Object {
          """"mode"""": 33206,
          """"name"""": """"bf2"""",
    -     """"path"""": """"/z/b"""",
    +     """"path"""": """"/z/b/bf2"""",
        },
        Object {
          """"mode"""": 16895,
          """"name"""": """"c"""",
          """"path"""": """"/z/c"""",
    +   },
    +   Object {
    +     """"mode"""": 16895,
    +     """"name"""": """"c"""",
    +     """"path"""": """"/z/c/c"""",
        },
        Object {
          """"mode"""": 33206,
          """"name"""": """".cf0"""",
    -     """"path"""": """"/z/c/c"""",
    +     """"path"""": """"/z/c/c/.cf0"""",
        },
        Object {
          """"mode"""": 33206,
          """"name"""": """"cf1"""",
    -     """"path"""": """"/z/c/c"""",
    +     """"path"""": """"/z/c/c/cf1"""",
        },
        Object {
          """"mode"""": 33206,
          """"name"""": """"cf2"""",
    -     """"path"""": """"/z/c/c"""",
    +     """"path"""": """"/z/c/c/cf2"""",
        },
      ]

      105 |       })
      106 |       .sort((a, b) => a.path.localeCompare(b.path));
    > 107 |     expect(mapped).toEqual([
          |                    ^
      108 |       { mode: 33206, name: 'af1', path: '/z' },
      109 |       { mode: 33206, name: 'af2', path: '/z' },
      110 |       { mode: 16895, name: 'b', path: '/z' },

      at Object.<anonymous> (src/__tests__/volume/readdirSync.test.ts:107:20)


Test Suites: 1 failed, 49 passed, 50 total
Tests:       3 failed, 16 skipped, 869 passed, 888 total""";1;0;0;1;0;1;0;"OrigBug: 1
SameFail: 0
Superset: 0
Different: 1
Surviving: 0
Invalid: 1
Other: 0";"OrigBug: 0
SameFail: 0
Superset: 0
Different: 1
Surviving: 0
Invalid: 1
Other: 0";"OrigBug: 1
SameFail: 0
Superset: 0
Different: 1
Surviving: 0
Invalid: 1
Other: 0";"OrigBug: 0
SameFail: 0
Superset: 0
Different: 1
Surviving: 0
Invalid: 2
Other: 0";"OrigBug: 0
SameFail: 0
Superset: 0
Different: 1
Surviving: 0
Invalid: 1
Other: 0";"""Note: need to disable lint, add type annotation on line 89 in smoke.ts: -       const assertAction = (test.broken || test.correct) ? assert.notDeepStrictEqual : assert.deepStrictEqual;
+       const assertAction: any = (test.broken || test.correct) ? assert.notDeepStrictEqual : assert.deepStrictEqual;""
Also, comment the following lines in tsconfig.json to prevent linter warning in mutants // ""noUnusedLocals"": true,
+               // ""noUnusedParameters"": true,";;;
memfs;memfs-1093;https://github.com/streamich/memfs;1093;ede0f4f;src/volume.ts;830;"this.wrapAsync(this.closeSync, [fd], callback);";"const file = this.getFileByFdOrThrow(fd, 'close');

 

    // NOTE: not calling closeSync because we can reset in between close and closeSync
 

    this.wrapAsync(this.closeFile, [file], callback);";""" FAIL  src/__tests__/volume.test.ts
  ● volume › Volume › .reset() › Open streams should not be affected

    EBADF: bad file descriptor, close

      144 |
      145 | export function createError(errorCode: string, func = '', path = '', path2 = '', Constructor = Error) {
    > 146 |   const error = new Constructor(formatError(errorCode, func, path, path2));
          |                 ^
      147 |   (error as any).code = errorCode;
      148 |
      149 |   if (path) {

      at createError (src/node/util.ts:146:17)
      at Volume.getFileByFdOrThrow (src/volume.ts:544:33)
      at Volume.closeSync (src/volume.ts:822:23)
      at Immediate.<anonymous> (src/volume.ts:582:25)""";1;0;0;5;2;3;0;"OrigBug: 1
SameFail: 0
Superset: 0
Different: 5
Surviving: 2
Invalid: 3
Other: 0";11 mutants, 1 of which causes the same failure as the original bug;11 mutants, 0 of which causes the same failure as the original bug;11 mutants, 2 of which causes the same failure as the original bug;11 mutants, 2 of which causes the same failure as the original bug;;;;
node-jsonfile;node-jsonfile-24;https://github.com/jprichardson/node-jsonfile;24;c2c8a2c;index.js;"14
====
46";" obj = JSON.parse(data, options.reviver)
====
str = JSON.stringify(obj, options.replacer, this.spaces) + '\n'";"obj = JSON.parse(data, options ? options.reviver : null)
====
str = JSON.stringify(obj, options ? options.replacer : null, this.spaces) + '\n'";"1 failing

  1) jsonfile ""after each"" hook:
     Uncaught AssertionError [ERR_ASSERTION]: ifError got unwanted exception: Cannot read properties of null (reading 'reviver')
====
1 failing

  1) jsonfile + writeFile() > when passing null and callback should not throw an error:
     AssertionError [ERR_ASSERTION]: ifError got unwanted exception: Cannot read properties of null (reading 'replacer')";2;0;0;5;4;0;0;"OrigBug: 1
SameFail: 0
Superset: 0
Different: 5
Surviving: 2
Invalid: 3
Other: 0";"OrigBug: 0
SameFail: 1
Superset: 0
Different: 6
Surviving: 2
Invalid: 3
Other: 0";"OrigBug: 0
SameFail: 0
Superset: 0
Different: 5
Surviving: 1
Invalid: 4
Other: 1";"OrigBug: 0
SameFail: 2
Superset: 0
Different: 2
Surviving: 2
Invalid: 5
Other: 0";"OrigBug: 0
SameFail: 2
Superset: 0
Different: 5
Surviving: 3
Invalid: 1
Other: 0";;;;
node-jsonfile;node-jsonfile-25;https://github.com/jprichardson/node-jsonfile;25;afaba5d;index.js;25;(inserted statement);"if (typeof options === 'string') {
    options = {encoding: options}
  }";"1 failing

  1) jsonfile + readFileSync() > when passing encoding string as option should not throw an error:
     AssertionError [ERR_ASSERTION]: ifError got unwanted exception: Cannot use 'in' operator to search for 'throws' in utf8
      at Context.<anonymous> (test.js:160:18)
      at Object.readFileSync (index.js:29:30)
      at Context.<anonymous> (test.js:158:25)
      at process.processImmediate (node:internal/timers:483:21)";0;1;1;1;0;0;0;"OrigBug: 0
SameFail: 1
Superset: 1
Different: 1
Surviving: 0
Invalid: 0
Other: 0";"OrigBug: 0
SameFail: 1
Superset: 1
Different: 1
Surviving: 0
Invalid: 0
Other: 0";"OrigBug: 0
SameFail: 1
Superset: 1
Different: 1
Surviving: 0
Invalid: 0
Other: 0";"OrigBug: 0
SameFail: 1
Superset: 1
Different: 1
Surviving: 0
Invalid: 0
Other: 0";"OrigBug: 0
SameFail: 1
Superset: 1
Different: 1
Surviving: 0
Invalid: 0
Other: 0";;;;
normalize-url;normalize-url-38;https://github.com/sindresorhus/normalize-url;38;6078d91;index.js;103;if (opts.stripWWW) {;if (opts.stripWWW && /^www\.([a-z\-\d]{2,63})\.([a-z\.]{2,5})$/.test(urlObj.hostname)) {;"  1 failed

  main

  /Users/franktip/git/mutation-testing-data/casestudy/normalize-url-82/normalize-url/test.js:16

   15:   t.is(m('http://www.sindresorhus.com'), 'http://sindresorhus.com');            
   16:   t.is(m('www.com'), 'http://www.com');                                         
   17:   t.is(m('http://www.www.sindresorhus.com'), 'http://www.www.sindresorhus.com');

  Difference:

  - 'http://com'
  + 'http://www.com'

  Test.fn (test.js:16:4)
  processEmit [as emit] (node_modules/nyc/node_modules/signal-exit/index.js:155:32)
  processEmit [as emit] (node_modules/nyc/node_modules/signal-exit/index.js:155:32)";0;1;0;5;1;;0;"OrigBug: 0
SameFail: 1
Superset: 0
Different: 5
Surviving: 1
Invalid: 0
Other: 0";"OrigBug: 0
SameFail: 0
Superset: 0
Different: 5
Surviving: 2
Invalid: 0
Other: 0";"OrigBug: 0
SameFail: 1
Superset: 0
Different: 5
Surviving: 1
Invalid: 0
Other: 0";"OrigBug: 0
SameFail: 2
Superset: 0
Different: 2
Surviving: 2
Invalid: 0
Other: 0";"OrigBug: 0
SameFail: 2
Superset: 0
Different: 5
Surviving: 1
Invalid: 0
Other: 0";;;;
normalize-url;normalize-url-82;https://github.com/sindresorhus/normalize-url;82;191ad4b;index.js;140;if (options.removeTrailingSlash || urlObj.pathname === '/') {;if ((options.removeTrailingSlash || urlObj.pathname === '/') && urlObj.hash === '') {;"2 failed

  removeTrailingSlash option

  /Users/franktip/git/mutation-testing-data/casestudy/normalize-url-82/normalize-url/test.js:118

   117:   t.is(normalizeUrl('http://sindresorhus.com/redirect/', options), 'http://sindresorhus.co…
   118:   t.is(normalizeUrl('http://sindresorhus.com/#/', options), 'http://sindresorhus.com/#/'); 
   119: });                                                                                        

  Difference:

  - 'http://sindresorhus.com/#'
  + 'http://sindresorhus.com/#/'

  Test.fn (test.js:118:4)
  processEmit [as emit] (node_modules/nyc/node_modules/signal-exit/index.js:155:32)
  processEmit [as emit] (node_modules/nyc/node_modules/signal-exit/index.js:155:32)



  removeTrailingSlash and removeDirectoryIndex options)

  /Users/franktip/git/mutation-testing-data/casestudy/normalize-url-82/normalize-url/test.js:155

   154:   t.is(normalizeUrl('http://sindresorhus.com/path/index.html', options1), 'http://sindreso…
   155:   t.is(normalizeUrl('http://sindresorhus.com/#/path/', options1), 'http://sindresorhus.com…
   156:   t.is(normalizeUrl('http://sindresorhus.com/foo/#/bar/', options1), 'http://sindresorhus.…

  Difference:

  - 'http://sindresorhus.com/#/path'
  + 'http://sindresorhus.com/#/path/'

  Test.fn (test.js:155:4)
  processEmit [as emit] (node_modules/nyc/node_modules/signal-exit/index.js:155:32)
  processEmit [as emit] (node_modules/nyc/node_modules/signal-exit/index.js:155:32)";0;0;1;2;0;0;0;"OrigBug: 0
SameFail: 0
Superset: 1
Different: 2
Surviving: 0
Invalid: 0
Other: 0";"OrigBug: 0
SameFail: 0
Superset: 1
Different: 1
Surviving: 1
Invalid: 0
Other: 0";"OrigBug: 0
SameFail: 1
Superset: 0
Different: 2
Surviving: 0
Invalid: 0
Other: 0";"OrigBug: 0
SameFail: 1
Superset: 0
Different: 2
Surviving: 0
Invalid: 0
Other: 0";"OrigBug: 0
SameFail: 0
Superset: 1
Different: 2
Surviving: 0
Invalid: 0
Other: 0";;;;
simple-statistics;simple-statistics-334;https://github.com/simple-statistics/simple-statistics;334;522a716;src/quantile.js;72;"        quantileSelect(arr, indices[m], indices[l], indices[r]);";"quantileSelect(
            arr,
            indices[m],
            Math.floor(indices[l]),
            Math.ceil(indices[r])
        );";"ot ok 36 - test/quantile.test.js # time=695.156ms
  ---
  timeout: 240000
  file: test/quantile.test.js
  childId: 35
  command: /usr/local/bin/node
  args:
    - '-r'
    - >-
      /Users/franktip/git/mutation-testing-data/casestudy/simple-statistics-633/simple-statistics/node_modules/esm/esm.js
    - test/quantile.test.js
  stdio:
    - 0
    - pipe
    - 2
  cwd: >-
    /Users/franktip/git/mutation-testing-data/casestudy/simple-statistics-633/simple-statistics
  exitCode: 1
  ...
{
    # Subtest: quantile
        # Subtest: can get proper quantiles of an even-length list
            ok 1 - should be equal
            ok 2 - should be equal
            ok 3 - should be equal
            1..3
        ok 1 - can get proper quantiles of an even-length list # time=3.045ms
        
        # Subtest: can get proper quantiles of an odd-length list
            ok 1 - should be equal
            ok 2 - should be equal
            ok 3 - should be equal
            1..3
        ok 2 - can get proper quantiles of an odd-length list # time=1.423ms
        
        # Subtest: the median quantile is equal to the median
            ok 1 - should be equal
            ok 2 - should be equal
            1..2
        ok 3 - the median quantile is equal to the median # time=1.498ms
        
        ok 4 - a zero-length list throws an error
        # Subtest: test odd-value case
            ok 1 - should be equal
            1..1
        ok 5 - test odd-value case # time=0.641ms
        
        # Subtest: bad bounds throw an error
            ok 1 - expected to throw
            ok 2 - expected to throw
            1..2
        ok 6 - bad bounds throw an error # time=1.231ms
        
        # Subtest: max quantile is equal to the max
            ok 1 - should be equal
            1..1
        ok 7 - max quantile is equal to the max # time=1.133ms
        
        # Subtest: min quantile is equal to the min
            ok 1 - should be equal
            1..1
        ok 8 - min quantile is equal to the min # time=0.702ms
        
        # Subtest: if quantile arg is an array, response is an array of quantiles
            ok 1 - should be equivalent
            ok 2 - should be equivalent
            1..2
        ok 9 - if quantile arg is an array, response is an array of quantiles # time=1.284ms
        
        # Subtest: can get an array of quantiles on a small number of elements
            not ok 1 - should be equivalent
              ---
              found:
                - .nan
                - 461.5
                - 484.5
              wanted:
                - 461
                - 468.5
                - 484.5
              at:
                line: 82
                column: 15
                file: test/quantile.test.js
                type: Test
              stack: |
                Test.<anonymous> (test/quantile.test.js:82:15)
                Test.<anonymous> (test/quantile.test.js:78:7)
                Object.<anonymous> (test/quantile.test.js:6:1)
                Generator.next (<anonymous>)
                Object.<anonymous> (node_modules/append-transform/index.js:62:4)
                Object.<anonymous> (node_modules/nyc/bin/wrap.js:27:4)
                Generator.next (<anonymous>)
                Generator.next (<anonymous>)
              source: |
                t.same(ss.quantile(input, [0.25, 0.5, 0.75]), [461, 468.5, 484.5]);
              ...
            
            not ok 2 - should be equivalent
              ---
              found:
                - null
                - .nan
                - .nan
                - 484.5
                - 500
              wanted:
                - 454
                - 461
                - 468.5
                - 484.5
                - 500
              at:
                line: 83
                column: 15
                file: test/quantile.test.js
                type: Test
              stack: |
                Test.<anonymous> (test/quantile.test.js:83:15)
                Test.<anonymous> (test/quantile.test.js:78:7)
                Object.<anonymous> (test/quantile.test.js:6:1)
                Generator.next (<anonymous>)
                Object.<anonymous> (node_modules/append-transform/index.js:62:4)
                Object.<anonymous> (node_modules/nyc/bin/wrap.js:27:4)
                Generator.next (<anonymous>)
                Generator.next (<anonymous>)
              source: |
                t.same(ss.quantile(input, [0.05, 0.25, 0.5, 0.75, 0.95]), [
              ...
            
            1..2
            # failed 2 of 2 tests
        not ok 10 - can get an array of quantiles on a small number of elements # time=20.655ms
        
        1..10
        # failed 1 of 10 tests
    not ok 1 - quantile # time=67.913ms
 ";0;0;2;5;3;0;0;"OrigBug: 0
SameFail: 0
Superset: 2
Different: 5
Surviving: 3
Invalid: 0
Other: 0";"OrigBug: 0
SameFail: 0
Superset: 2
Different: 7
Surviving: 3
Invalid: 0
Other: 0";"OrigBug: 0
SameFail: 0
Superset: 1
Different: 7
Surviving: 4
Invalid: 0
Other: 0";"OrigBug: 0
SameFail: 0
Superset: 1
Different: 5
Surviving: 4
Invalid: 0
Other: 0";"OrigBug: 0
SameFail: 0
Superset: 1
Different: 8
Surviving: 2
Invalid: 0
Other: 0";;;;
simple-statistics;simple-statistics-633;https://github.com/simple-statistics/simple-statistics;633;6547df7;"src/sum.js
====
src/sum_simple.js";"33
====
15";"(inserted statement)
====
(inserted statement)";"if (typeof sum !== ""number"") {
        return NaN;
    }
====
  if (typeof x[i] !== ""number"") {
            return NaN;
        }";""" FAIL ​ test/sum.test.js
 ✖ expect truthy value

  test/sum.test.js                                                        
  17 |     t.test(""""returns NaN if a non-number is given"""", function (t) {  
  18 |         t.ok(isNaN(ss.sum([1, null])));                            
> 19 |         t.ok(isNaN(ss.sum([null, 1])));                            
     | ----------^                                                        
  20 |         t.ok(isNaN(ss.sum([1, 2, null])));                         
  21 |         t.ok(isNaN(ss.sum([1, 2, true])));                         
  22 |         t.end();                                                   

  test: test/sum.test.js sum returns NaN if a non-number is given
  stack: |
    Test.<anonymous> (test/sum.test.js:19:11)
    Test.<anonymous> (test/sum.test.js:17:7)
    Object.<anonymous> (test/sum.test.js:6:1)
    Module.replacementCompile (node_modules/append-transform/index.js:60:13)
    Object.<anonymous> (node_modules/append-transform/index.js:64:4)

​ FAIL ​ test/sum.test.js 1 failed of 12 49.625ms
 ✖ expect truthy value""
====
"" FAIL ​ test/sum.test.js
 ✖ expect truthy value

  test/sum.test.js                                            
  55 |                                                        
  56 |     t.test(""""same NaN behavior as sum"""", function (t) {  
> 57 |         t.ok(isNaN(ss.sumSimple([null])));             
     | ----------^                                            
  58 |         t.ok(isNaN(ss.sumSimple([1, 2, null])));       
  59 |         t.end();                                       
  60 |     });                                                

  test: test/sum.test.js sumSimple same NaN behavior as sum
  stack: |
    Test.<anonymous> (test/sum.test.js:57:11)
    Test.<anonymous> (test/sum.test.js:56:7)
    Object.<anonymous> (test/sum.test.js:27:1)
    Module.replacementCompile (node_modules/append-transform/index.js:60:13)
    Object.<anonymous> (node_modules/append-transform/index.js:64:4)

​ FAIL ​ test/sum.test.js
 ✖ expect truthy value

  test/sum.test.js                                            
  56 |     t.test(""""same NaN behavior as sum"""", function (t) {  
  57 |         t.ok(isNaN(ss.sumSimple([null])));             
> 58 |         t.ok(isNaN(ss.sumSimple([1, 2, null])));       
     | ----------^                                            
  59 |         t.end();                                       
  60 |     });                                                
  61 |     t.end();                                           

  test: test/sum.test.js sumSimple same NaN behavior as sum
  stack: |
    Test.<anonymous> (test/sum.test.js:58:11)
    Test.<anonymous> (test/sum.test.js:56:7)
    Object.<anonymous> (test/sum.test.js:27:1)
    Module.replacementCompile (node_modules/append-transform/index.js:60:13)
    Object.<anonymous> (node_modules/append-transform/index.js:64:4)

​ FAIL ​ test/sum.test.js 2 failed of 12 50.103ms
 ✖ expect truthy value
 ✖ expect truthy value""";0;1;2;1;0;2;0;"OrigBug: 0
SameFail: 1
Superset: 2
Different: 1
Surviving: 0
Invalid: 2
Other: 0";"OrigBug: 0
SameFail: 0
Superset: 2
Different: 1
Surviving: 1
Invalid: 2
Other: 0";"OrigBug: 0
SameFail: 1
Superset: 0
Different: 1
Surviving: 1
Invalid: 3
Other: 0";"OrigBug: 0
SameFail: 2
Superset: 0
Different: 1
Surviving: 0
Invalid: 3
Other: 0";"OrigBug: 0
SameFail: 2
Superset: 0
Different: 1
Surviving: 0
Invalid: 3
Other: 0";"NOTE: fix TypeScript error in common-types.ts: 
git diff lib/typings/common-types.ts
diff --git a/lib/typings/common-types.ts b/lib/typings/common-types.ts
index 2c1c15c..2aacfbf 100644
--- a/lib/typings/common-types.ts
+++ b/lib/typings/common-types.ts
@@ -61,7 +61,7 @@ export function assertSingleKey(
 /**
  * Typing wrapper around Object.keys()
  */
-export function objectKeys<T>(object: T) {
+export function objectKeys<T extends Object>(object: T) {
   return Object.keys(object) as (keyof T)[];
 }";;;
yargs;yargs-1364;https://github.com/yargs/yargs;1364;35d777c;lib/validation.js;105;    if (commandKeys.length > 0) {;if ((currentContext.commands.length > 0) || (commandKeys.length > 0)) {;"  1 failing

  1) validation tests
       demand
         fails in strict mode with invalid command:
     Error: Timeout of 12000ms exceeded. For async tests and hooks, ensure ""done()"" is called; if returning a Promise, ensure it resolves. (/Users/franktip/git/mutation-testing-data/casestudy/yargs-2171/yargs/test/validation.js)
      at listOnTimeout (node:internal/timers:581:17)
      at process.processTimers (node:internal/timers:519:7)";0;0;2;0;1;0;0;"OrigBug: 0
SameFail: 0
Superset: 2
Different: 0
Surviving: 1
Invalid: 0
Other: 0";"OrigBug: 0
SameFail: 0
Superset: 1
Different: 2
Surviving: 0
Invalid: 0
Other: 0";"OrigBug: 0
SameFail: 0
Superset: 2
Different: 1
Surviving: 0
Invalid: 0
Other: 0";"OrigBug: 0
SameFail: 0
Superset: 1
Different: 1
Surviving: 0
Invalid: 0
Other: 1";"OrigBug: 0
SameFail: 0
Superset: 2
Different: 1
Surviving: 0
Invalid: 0
Other: 0";"build with ""yarn""; run tests using ""yarn test""";;;
yargs;yargs-1376;https://github.com/yargs/yargs;1376;3d26d11;lib/apply-extends.js;22;if (config.hasOwnProperty('extends')) {;if (Object.prototype.hasOwnProperty.call(config, 'extends')) {;"1 failing

  1) yargs dsl tests
       config
         extends
           tolerates null prototype config objects:
     TypeError: config.hasOwnProperty is not a function
      at applyExtends (lib/apply-extends.js:1:5026)
      at Object.config (yargs.js:27:102)
      at Context.<anonymous> (test/yargs.js:1297:12)
      at process.processImmediate (node:internal/timers:483:21)";1;0;0;7;3;0;0;"OrigBug: 1
SameFail: 0
Superset: 0
Different: 7
Surviving: 3
Invalid: 0
Other: 0";"OrigBug: 1
SameFail: 0
Superset: 0
Different: 7
Surviving: 2
Invalid: 0
Other: 0";"OrigBug: 1
SameFail: 0
Superset: 0
Different: 6
Surviving: 2
Invalid: 0
Other: 0";"OrigBug: 1
SameFail: 0
Superset: 0
Different: 5
Surviving: 2
Invalid: 0
Other: 0";"OrigBug: 1
SameFail: 0
Superset: 0
Different: 6
Surviving: 2
Invalid: 0
Other: 0";"build with ""yarn""; run tests using ""yarn test""";;;
yargs;yargs-1422;https://github.com/yargs/yargs;1422;9a42b63;lib/middleware.js;43;"if (middleware.applyBeforeValidation !== beforeValidation &&
          !isPromise(accumulation)) {";if (middleware.applyBeforeValidation !== beforeValidation) {;"1) middleware
       async
         calls an async middleware only once for nested subcommands:

      AssertionError: expected 2 to equal 1
      + expected - actual

      -2
      +1
      
      at /Users/franktip/git/mutation-testing-data/casestudy/yargs-2171/yargs/test/middleware.js:173:28";0;0;0;3;0;0;0;"OrigBug: 0
SameFail: 0
Superset: 0
Different: 3
Surviving: 0
Invalid: 0
Other: 0";"OrigBug: 0
SameFail: 0
Superset: 0
Different: 2
Surviving: 0
Invalid: 0
Other: 0";"OrigBug: 0
SameFail: 0
Superset: 0
Different: 3
Surviving: 0
Invalid: 0
Other: 0";"OrigBug: 0
SameFail: 0
Superset: 0
Different: 2
Surviving: 0
Invalid: 0
Other: 0";"OrigBug: 0
SameFail: 0
Superset: 0
Different: 2
Surviving: 0
Invalid: 0
Other: 0";"build with ""yarn""; run tests using ""yarn test""";;;
yargs;yargs-1493;https://github.com/yargs/yargs;1493;63b3dd3;lib/usage.js;275;            else return (sw.length > 1 ? '--' : '-') + sw;            else return (/^[^0-9]$/.test(sw) ? '-' : '--') + sw;"2 failing

  1) usage tests
       help option
         should use 2 dashes for 1-digit key usage:

      AssertionError: expected [ 'Options:', …(3) ] to deeply equal [ 'Options:', …(3) ]
      + expected - actual

       [
         ""Options:""
      -  ""  -1         Negative one  [boolean]""
      +  ""  --1        Negative one  [boolean]""
         ""  --help     Show help  [boolean]""
         ""  --version  Show version number  [boolean]""
       ]
      
      at Context.<anonymous> (test/usage.js:1138:50)
      at process.processImmediate (node:internal/timers:483:21)

  2) usage tests
       help option
         should use 2 dashes for 1-digit alias usage:

      AssertionError: expected [ 'Options:', …(3) ] to deeply equal [ 'Options:', …(3) ]
      + expected - actual

       [
         ""Options:""
      -  ""  --help             Show help  [boolean]""
      -  ""  --version          Show version number  [boolean]""
      -  ""  --negativeone, -1  Negative one  [boolean]""
      +  ""  --help              Show help  [boolean]""
      +  ""  --version           Show version number  [boolean]""
      +  ""  --negativeone, --1  Negative one  [boolean]""
       ]
      
      at Context.<anonymous> (test/usage.js:1161:50)
      at process.processImmediate (node:internal/timers:483:21)";0;0;0;2;3;0;0;"OrigBug: 0
SameFail: 0
Superset: 0
Different: 2
Surviving: 3
Invalid: 0
Other: 0";"OrigBug: 0
SameFail: 0
Superset: 2
Different: 3
Surviving: 1
Invalid: 0
Other: 0";"OrigBug: 0
SameFail: 0
Superset: 0
Different: 2
Surviving: 2
Invalid: 0
Other: 0";"OrigBug: 0
SameFail: 0
Superset: 2
Different: 2
Surviving: 2
Invalid: 0
Other: 0";"OrigBug: 0
SameFail: 0
Superset: 2
Different: 2
Surviving: 2
Invalid: 0
Other: 0";;;;
